URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
138389,919,2029,State-funded primary,203,92,111,45.3%,54.7%,4,2.0%,42,20.7%,15,188,0,7.4%,92.6%,0.0%,97,99,190,52.1%
138390,845,2001,State-funded primary,323,156,167,48.3%,51.7%,4,1.2%,52,16.1%,51,272,0,15.8%,84.2%,0.0%,139,150,294,51.0%
138391,845,2002,State-funded primary,322,157,165,48.8%,51.2%,8,2.5%,38,11.8%,43,279,0,13.4%,86.6%,0.0%,149,153,286,53.5%
138392,845,2003,State-funded primary,397,195,202,49.1%,50.9%,7,1.8%,66,16.6%,38,359,0,9.6%,90.4%,0.0%,140,142,371,38.3%
138393,370,2003,State-funded primary,415,215,200,51.8%,48.2%,10,2.4%,44,10.6%,39,359,17,9.4%,86.5%,4.1%,92,94,392,24.0%
138395,330,2047,State-funded primary,392,194,198,49.5%,50.5%,6,1.5%,59,15.1%,313,77,2,79.8%,19.6%,0.5%,229,239,392,61.0%
138396,330,2048,State-funded primary,210,97,113,46.2%,53.8%,3,1.4%,38,18.1%,136,74,0,64.8%,35.2%,0.0%,131,126,197,64.0%
138397,330,2056,State-funded primary,446,204,242,45.7%,54.3%,4,0.9%,58,13.0%,344,101,1,77.1%,22.6%,0.2%,194,191,401,47.6%
138398,381,2000,State-funded primary,111,61,50,55.0%,45.0%,6,5.4%,30,27.0%,6,105,0,5.4%,94.6%,0.0%,69,74,107,69.2%
138399,350,2001,State-funded primary,446,228,218,51.1%,48.9%,5,1.1%,77,17.3%,143,302,1,32.1%,67.7%,0.2%,146,150,409,36.7%
138400,845,2004,State-funded primary,414,187,227,45.2%,54.8%,1,0.2%,52,12.6%,34,380,0,8.2%,91.8%,0.0%,131,137,414,33.1%
138401,384,2002,State-funded primary,226,104,122,46.0%,54.0%,7,3.1%,29,12.8%,3,223,0,1.3%,98.7%,0.0%,52,53,206,25.7%
138402,938,2006,State-funded primary,245,124,121,50.6%,49.4%,21,8.6%,42,17.1%,38,207,0,15.5%,84.5%,0.0%,112,113,245,46.1%
138403,316,4000,State-funded secondary,474,288,186,60.8%,39.2%,0,0.0%,15,3.2%,67,407,0,14.1%,85.9%,0.0%,192,0,0,0.0%
138404,881,2024,State-funded primary,334,166,168,49.7%,50.3%,4,1.2%,62,18.6%,50,284,0,15.0%,85.0%,0.0%,150,151,303,49.8%
138405,886,6138,Independent school,129,46,83,35.7%,64.3%,0,0.0%,12,9.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138406,212,6000,Independent school,83,39,44,47.0%,53.0%,1,1.2%,17,20.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138408,886,6139,Independent school,29,7,22,24.1%,75.9%,29,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138409,801,2056,State-funded primary,213,105,108,49.3%,50.7%,2,0.9%,33,15.5%,35,178,0,16.4%,83.6%,0.0%,100,110,191,57.6%
138410,330,2057,State-funded primary,459,224,235,48.8%,51.2%,26,5.7%,38,8.3%,309,150,0,67.3%,32.7%,0.0%,235,225,420,53.6%
138411,891,4010,State-funded secondary,1030,538,492,52.2%,47.8%,7,0.7%,136,13.2%,44,911,75,4.3%,88.4%,7.3%,338,350,959,36.5%
138413,938,2016,State-funded primary,554,286,268,51.6%,48.4%,8,1.4%,76,13.7%,116,438,0,20.9%,79.1%,0.0%,135,147,523,28.1%
138414,373,4000,State-funded secondary,835,413,422,49.5%,50.5%,15,1.8%,151,18.1%,97,725,13,11.6%,86.8%,1.6%,452,498,835,59.6%
138415,370,2010,State-funded primary,353,175,178,49.6%,50.4%,6,1.7%,53,15.0%,18,334,1,5.1%,94.6%,0.3%,153,151,305,49.5%
138416,355,2000,State-funded primary,224,114,110,50.9%,49.1%,6,2.7%,58,25.9%,48,176,0,21.4%,78.6%,0.0%,144,132,202,65.3%
138420,335,2005,State-funded primary,250,118,132,47.2%,52.8%,5,2.0%,45,18.0%,158,92,0,63.2%,36.8%,0.0%,143,130,211,61.6%
138421,916,4005,State-funded secondary,604,280,324,46.4%,53.6%,30,5.0%,65,10.8%,23,580,1,3.8%,96.0%,0.2%,154,176,604,29.1%
138423,941,2031,State-funded primary,224,111,113,49.6%,50.4%,6,2.7%,20,8.9%,97,127,0,43.3%,56.7%,0.0%,68,71,195,36.4%
138424,866,2006,State-funded primary,419,208,211,49.6%,50.4%,9,2.1%,57,13.6%,85,303,31,20.3%,72.3%,7.4%,31,34,419,8.1%
138425,330,2058,State-funded primary,241,112,129,46.5%,53.5%,0,0.0%,30,12.4%,34,207,0,14.1%,85.9%,0.0%,134,120,211,56.9%
138430,916,7003,State-funded special school,63,3,60,4.8%,95.2%,62,98.4%,1,1.6%,0,63,0,0.0%,100.0%,0.0%,40,48,63,76.2%
138431,937,2003,State-funded primary,239,119,120,49.8%,50.2%,4,1.7%,38,15.9%,16,223,0,6.7%,93.3%,0.0%,94,98,239,41.0%
138432,330,2059,State-funded primary,207,98,109,47.3%,52.7%,1,0.5%,33,15.9%,135,72,0,65.2%,34.8%,0.0%,130,123,194,63.4%
138433,330,2061,State-funded primary,179,93,86,52.0%,48.0%,4,2.2%,23,12.8%,106,73,0,59.2%,40.8%,0.0%,97,101,179,56.4%
138434,886,2009,State-funded primary,325,168,157,51.7%,48.3%,13,4.0%,45,13.8%,72,253,0,22.2%,77.8%,0.0%,230,237,309,76.7%
138435,860,4006,State-funded secondary,587,305,282,52.0%,48.0%,11,1.9%,76,12.9%,27,560,0,4.6%,95.4%,0.0%,217,230,587,39.2%
138436,886,2010,State-funded primary,291,132,159,45.4%,54.6%,16,5.5%,83,28.5%,45,245,1,15.5%,84.2%,0.3%,177,180,291,61.9%
138437,850,4004,State-funded secondary,823,400,423,48.6%,51.4%,25,3.0%,194,23.6%,54,768,1,6.6%,93.3%,0.1%,287,308,823,37.4%
138438,886,2011,State-funded primary,215,101,114,47.0%,53.0%,6,2.8%,36,16.7%,33,182,0,15.3%,84.7%,0.0%,84,88,202,43.6%
138439,826,4002,State-funded secondary,625,299,326,47.8%,52.2%,12,1.9%,80,12.8%,208,415,2,33.3%,66.4%,0.3%,298,331,625,53.0%
138440,826,2018,State-funded primary,205,100,105,48.8%,51.2%,7,3.4%,28,13.7%,71,134,0,34.6%,65.4%,0.0%,94,101,205,49.3%
138441,381,6004,Independent school,7,0,7,0.0%,100.0%,5,71.4%,2,28.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138442,925,2000,State-funded primary,316,163,153,51.6%,48.4%,12,3.8%,52,16.5%,20,295,1,6.3%,93.4%,0.3%,208,215,316,68.0%
138443,831,2007,State-funded primary,484,259,225,53.5%,46.5%,10,2.1%,92,19.0%,138,346,0,28.5%,71.5%,0.0%,163,170,441,38.5%
138444,925,2004,State-funded primary,127,70,57,55.1%,44.9%,4,3.1%,35,27.6%,7,120,0,5.5%,94.5%,0.0%,90,76,108,70.4%
138445,925,2005,State-funded primary,335,168,167,50.1%,49.9%,14,4.2%,55,16.4%,8,327,0,2.4%,97.6%,0.0%,174,182,321,56.7%
138446,309,2016,State-funded primary,444,251,193,56.5%,43.5%,13,2.9%,36,8.1%,221,223,0,49.8%,50.2%,0.0%,142,160,412,38.8%
138447,309,2021,State-funded primary,439,213,226,48.5%,51.5%,18,4.1%,33,7.5%,231,206,2,52.6%,46.9%,0.5%,135,140,403,34.7%
138448,801,4003,State-funded secondary,905,414,491,45.7%,54.3%,15,1.7%,217,24.0%,231,674,0,25.5%,74.5%,0.0%,383,421,905,46.5%
138449,203,4000,State-funded secondary,1163,463,700,39.8%,60.2%,31,2.7%,136,11.7%,278,884,1,23.9%,76.0%,0.1%,317,342,933,36.7%
138450,896,1100,State-funded AP school,52,16,36,30.8%,69.2%,4,7.7%,46,88.5%,0,52,0,0.0%,100.0%,0.0%,31,34,52,65.4%
138452,335,2010,State-funded primary,494,230,264,46.6%,53.4%,14,2.8%,68,13.8%,326,168,0,66.0%,34.0%,0.0%,171,180,413,43.6%
138453,938,2017,State-funded primary,532,255,277,47.9%,52.1%,3,0.6%,85,16.0%,145,384,3,27.3%,72.2%,0.6%,189,199,496,40.1%
138454,320,7002,State-funded special school,265,84,181,31.7%,68.3%,265,100.0%,0,0.0%,93,172,0,35.1%,64.9%,0.0%,119,105,215,48.8%
138455,802,1102,State-funded AP school,44,12,32,27.3%,72.7%,4,9.1%,38,86.4%,0,44,0,0.0%,100.0%,0.0%,28,30,44,68.2%
138457,304,4006,State-funded secondary,1396,667,729,47.8%,52.2%,24,1.7%,27,1.9%,1035,360,1,74.1%,25.8%,0.1%,205,197,1106,17.8%
138458,310,5400,State-funded secondary,618,0,618,0.0%,100.0%,15,2.4%,103,16.7%,356,258,4,57.6%,41.7%,0.6%,135,160,618,25.9%
138459,314,5402,State-funded secondary,977,977,0,100.0%,0.0%,24,2.5%,58,5.9%,282,658,37,28.9%,67.3%,3.8%,91,98,765,12.8%
138460,318,4013,State-funded secondary,1307,540,767,41.3%,58.7%,29,2.2%,133,10.2%,290,1007,10,22.2%,77.0%,0.8%,209,208,1126,18.5%
138461,318,4021,State-funded secondary,1457,1367,90,93.8%,6.2%,48,3.3%,142,9.7%,274,1182,1,18.8%,81.1%,0.1%,111,98,1079,9.1%
138462,334,2057,State-funded primary,220,107,113,48.6%,51.4%,1,0.5%,24,10.9%,11,208,1,5.0%,94.5%,0.5%,22,21,197,10.7%
138463,341,5400,State-funded secondary,1097,4,1093,0.4%,99.6%,16,1.5%,195,17.8%,53,1043,1,4.8%,95.1%,0.1%,253,280,986,28.4%
138464,358,5901,State-funded secondary,1034,1034,0,100.0%,0.0%,1,0.1%,25,2.4%,139,894,1,13.4%,86.5%,0.1%,38,45,786,5.7%
138465,801,3411,State-funded primary,206,102,104,49.5%,50.5%,5,2.4%,17,8.3%,115,91,0,55.8%,44.2%,0.0%,30,31,206,15.0%
138466,802,4137,State-funded secondary,1096,544,552,49.6%,50.4%,42,3.8%,45,4.1%,46,1050,0,4.2%,95.8%,0.0%,137,138,939,14.7%
138467,812,2943,State-funded primary,293,153,140,52.2%,47.8%,7,2.4%,50,17.1%,6,287,0,2.0%,98.0%,0.0%,55,61,266,22.9%
138468,812,3523,State-funded primary,310,143,167,46.1%,53.9%,7,2.3%,42,13.5%,17,293,0,5.5%,94.5%,0.0%,123,118,284,41.5%
138469,821,2003,State-funded primary,667,333,334,49.9%,50.1%,26,3.9%,147,22.0%,303,364,0,45.4%,54.6%,0.0%,204,209,615,34.0%
138470,830,5413,State-funded secondary,1353,725,628,53.6%,46.4%,28,2.1%,134,9.9%,109,1240,4,8.1%,91.6%,0.3%,179,165,1033,16.0%
138471,838,4512,State-funded secondary,1552,785,767,50.6%,49.4%,42,2.7%,103,6.6%,111,1439,2,7.2%,92.7%,0.1%,225,214,1191,18.0%
138472,845,4027,State-funded secondary,1633,815,818,49.9%,50.1%,32,2.0%,139,8.5%,61,1563,9,3.7%,95.7%,0.6%,328,364,1418,25.7%
138473,845,4036,State-funded secondary,1376,662,714,48.1%,51.9%,27,2.0%,121,8.8%,86,1290,0,6.3%,93.8%,0.0%,202,209,1190,17.6%
138474,845,4063,State-funded secondary,1194,558,636,46.7%,53.3%,15,1.3%,146,12.2%,149,1045,0,12.5%,87.5%,0.0%,246,275,1194,23.0%
138475,845,4064,State-funded secondary,1362,681,681,50.0%,50.0%,14,1.0%,181,13.3%,114,1246,2,8.4%,91.5%,0.1%,276,297,1319,22.5%
138476,852,5417,State-funded secondary,1228,1210,18,98.5%,1.5%,12,1.0%,100,8.1%,521,705,2,42.4%,57.4%,0.2%,297,277,1080,25.6%
138478,855,4035,State-funded secondary,1221,620,601,50.8%,49.2%,21,1.7%,230,18.8%,81,1140,0,6.6%,93.4%,0.0%,270,280,1061,26.4%
138479,866,3175,State-funded primary,205,98,107,47.8%,52.2%,4,2.0%,10,4.9%,53,152,0,25.9%,74.1%,0.0%,28,30,205,14.6%
138480,886,4101,State-funded secondary,1026,0,1026,0.0%,100.0%,3,0.3%,29,2.8%,84,942,0,8.2%,91.8%,0.0%,104,93,751,12.4%
138482,891,4329,State-funded secondary,2000,992,1008,49.6%,50.4%,21,1.1%,92,4.6%,119,1758,123,6.0%,87.9%,6.2%,173,159,1591,10.0%
138483,896,4135,State-funded secondary,1217,619,598,50.9%,49.1%,16,1.3%,96,7.9%,15,1202,0,1.2%,98.8%,0.0%,105,111,1021,10.9%
138484,919,4117,State-funded secondary,423,236,187,55.8%,44.2%,12,2.8%,105,24.8%,42,381,0,9.9%,90.1%,0.0%,104,116,413,28.1%
138485,919,7007,State-funded special school,65,23,42,35.4%,64.6%,65,100.0%,0,0.0%,18,47,0,27.7%,72.3%,0.0%,14,14,57,24.6%
138486,925,2074,State-funded primary,171,88,83,51.5%,48.5%,7,4.1%,24,14.0%,5,166,0,2.9%,97.1%,0.0%,44,46,171,26.9%
138487,925,5208,State-funded primary,294,152,142,51.7%,48.3%,6,2.0%,29,9.9%,7,287,0,2.4%,97.6%,0.0%,50,53,267,19.9%
138490,931,4139,State-funded secondary,1614,1614,0,100.0%,0.0%,23,1.4%,179,11.1%,202,1401,11,12.5%,86.8%,0.7%,152,167,1384,12.1%
138491,936,4763,State-funded secondary,1142,567,575,49.6%,50.4%,30,2.6%,114,10.0%,66,1074,2,5.8%,94.0%,0.2%,72,75,944,7.9%
138492,938,5200,State-funded primary,336,149,187,44.3%,55.7%,4,1.2%,57,17.0%,40,296,0,11.9%,88.1%,0.0%,29,29,336,8.6%
138493,941,2033,State-funded primary,473,237,236,50.1%,49.9%,15,3.2%,68,14.4%,262,209,2,55.4%,44.2%,0.4%,103,110,414,26.6%
138495,315,4000,State-funded secondary,868,397,471,45.7%,54.3%,31,3.6%,176,20.3%,290,574,4,33.4%,66.1%,0.5%,358,395,868,45.5%
138496,916,4006,State-funded secondary,281,137,144,48.8%,51.2%,8,2.8%,57,20.3%,20,260,1,7.1%,92.5%,0.4%,101,119,281,42.3%
138497,861,2005,State-funded primary,236,118,118,50.0%,50.0%,3,1.3%,33,14.0%,55,181,0,23.3%,76.7%,0.0%,63,62,210,29.5%
138498,350,6001,Independent school,121,121,0,100.0%,0.0%,0,0.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138499,931,4000,State-funded secondary,963,475,488,49.3%,50.7%,6,0.6%,180,18.7%,255,708,0,26.5%,73.5%,0.0%,281,294,896,32.8%
138501,931,2003,State-funded primary,439,216,223,49.2%,50.8%,8,1.8%,58,13.2%,172,266,1,39.2%,60.6%,0.2%,107,108,392,27.6%
138502,306,2015,State-funded primary,577,279,298,48.4%,51.6%,10,1.7%,86,14.9%,182,395,0,31.5%,68.5%,0.0%,160,163,577,28.2%
138505,885,4008,State-funded secondary,839,406,433,48.4%,51.6%,10,1.2%,106,12.6%,92,747,0,11.0%,89.0%,0.0%,200,201,691,29.1%
138506,935,4008,State-funded secondary,703,337,366,47.9%,52.1%,17,2.4%,143,20.3%,45,658,0,6.4%,93.6%,0.0%,218,236,703,33.6%
138507,919,2035,State-funded primary,524,280,244,53.4%,46.6%,11,2.1%,60,11.5%,211,313,0,40.3%,59.7%,0.0%,161,167,469,35.6%
138508,892,2003,State-funded primary,339,147,192,43.4%,56.6%,0,0.0%,33,9.7%,160,177,2,47.2%,52.2%,0.6%,94,93,304,30.6%
138510,887,2001,State-funded primary,359,180,179,50.1%,49.9%,7,1.9%,75,20.9%,111,248,0,30.9%,69.1%,0.0%,177,183,359,51.0%
138511,887,4001,State-funded secondary,1037,476,561,45.9%,54.1%,14,1.4%,232,22.4%,156,881,0,15.0%,85.0%,0.0%,425,439,947,46.4%
138514,831,2008,State-funded primary,203,104,99,51.2%,48.8%,1,0.5%,38,18.7%,53,150,0,26.1%,73.9%,0.0%,39,44,203,21.7%
138516,204,6006,Independent school,446,446,0,100.0%,0.0%,8,1.8%,30,6.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138518,317,4001,State-funded secondary,1750,862,888,49.3%,50.7%,49,2.8%,159,9.1%,832,886,32,47.5%,50.6%,1.8%,466,430,1517,28.3%
138520,813,2141,State-funded primary,62,38,24,61.3%,38.7%,0,0.0%,5,8.1%,2,60,0,3.2%,96.8%,0.0%,16,16,62,25.8%
138521,855,4506,State-funded secondary,1189,586,603,49.3%,50.7%,31,2.6%,168,14.1%,65,1122,2,5.5%,94.4%,0.2%,156,172,1189,14.5%
138522,800,4132,State-funded secondary,1371,567,804,41.4%,58.6%,55,4.0%,121,8.8%,101,1264,6,7.4%,92.2%,0.4%,179,175,1119,15.6%
138523,841,3512,State-funded primary,330,180,150,54.5%,45.5%,5,1.5%,30,9.1%,19,311,0,5.8%,94.2%,0.0%,38,38,301,12.6%
138525,869,4055,State-funded secondary,1234,609,625,49.4%,50.6%,71,5.8%,64,5.2%,126,1107,1,10.2%,89.7%,0.1%,219,232,1076,21.6%
138526,394,7018,State-funded special school,190,67,123,35.3%,64.7%,189,99.5%,1,0.5%,27,163,0,14.2%,85.8%,0.0%,109,79,123,64.2%
138527,855,4057,State-funded secondary,885,413,472,46.7%,53.3%,26,2.9%,151,17.1%,25,860,0,2.8%,97.2%,0.0%,106,126,885,14.2%
138528,855,2029,State-funded primary,287,136,151,47.4%,52.6%,4,1.4%,21,7.3%,12,274,1,4.2%,95.5%,0.3%,37,39,287,13.6%
138530,394,7004,State-funded special school,170,39,131,22.9%,77.1%,170,100.0%,0,0.0%,2,168,0,1.2%,98.8%,0.0%,93,62,115,53.9%
138531,801,2091,State-funded primary,417,214,203,51.3%,48.7%,7,1.7%,30,7.2%,41,376,0,9.8%,90.2%,0.0%,10,10,417,2.4%
138532,352,7043,State-funded special school,186,68,118,36.6%,63.4%,186,100.0%,0,0.0%,94,91,1,50.5%,48.9%,0.5%,98,68,110,61.8%
138533,881,5201,State-funded primary,464,221,243,47.6%,52.4%,10,2.2%,18,3.9%,43,419,2,9.3%,90.3%,0.4%,50,53,422,12.6%
138534,394,2163,State-funded primary,258,120,138,46.5%,53.5%,4,1.6%,21,8.1%,8,250,0,3.1%,96.9%,0.0%,23,23,237,9.7%
138535,384,2101,State-funded primary,378,187,191,49.5%,50.5%,8,2.1%,95,25.1%,33,345,0,8.7%,91.3%,0.0%,187,190,339,56.0%
138536,334,2050,State-funded primary,695,330,365,47.5%,52.5%,12,1.7%,77,11.1%,38,653,4,5.5%,94.0%,0.6%,64,65,630,10.3%
138538,890,2207,State-funded primary,523,257,266,49.1%,50.9%,6,1.1%,43,8.2%,25,498,0,4.8%,95.2%,0.0%,180,194,523,37.1%
138539,919,2009,State-funded primary,458,238,220,52.0%,48.0%,7,1.5%,39,8.5%,61,394,3,13.3%,86.0%,0.7%,25,27,416,6.5%
138540,335,2243,State-funded primary,207,99,108,47.8%,52.2%,6,2.9%,42,20.3%,19,188,0,9.2%,90.8%,0.0%,117,123,207,59.4%
138541,933,3353,State-funded primary,375,173,202,46.1%,53.9%,9,2.4%,15,4.0%,16,354,5,4.3%,94.4%,1.3%,95,101,324,31.2%
138542,812,2001,State-funded primary,445,233,212,52.4%,47.6%,14,3.1%,52,11.7%,44,401,0,9.9%,90.1%,0.0%,69,71,403,17.6%
138543,355,3802,State-funded primary,411,191,220,46.5%,53.5%,5,1.2%,37,9.0%,18,393,0,4.4%,95.6%,0.0%,29,28,362,7.7%
138544,888,4403,State-funded secondary,723,317,406,43.8%,56.2%,35,4.8%,80,11.1%,41,682,0,5.7%,94.3%,0.0%,178,200,723,27.7%
138545,373,4279,State-funded secondary,1919,1023,896,53.3%,46.7%,40,2.1%,267,13.9%,182,1736,1,9.5%,90.5%,0.1%,525,539,1639,32.9%
138547,203,7199,State-funded special school,225,53,172,23.6%,76.4%,223,99.1%,2,0.9%,56,169,0,24.9%,75.1%,0.0%,118,90,155,58.1%
138548,861,2090,State-funded primary,519,253,266,48.7%,51.3%,8,1.5%,105,20.2%,49,470,0,9.4%,90.6%,0.0%,247,227,466,48.7%
138549,861,4173,State-funded secondary,1154,565,589,49.0%,51.0%,38,3.3%,178,15.4%,233,921,0,20.2%,79.8%,0.0%,440,478,1102,43.4%
138550,861,2106,State-funded primary,474,222,252,46.8%,53.2%,5,1.1%,91,19.2%,41,433,0,8.6%,91.4%,0.0%,165,163,426,38.3%
138551,861,2086,State-funded primary,669,332,337,49.6%,50.4%,18,2.7%,98,14.6%,68,601,0,10.2%,89.8%,0.0%,429,390,576,67.7%
138553,856,2002,State-funded primary,428,220,208,51.4%,48.6%,10,2.3%,31,7.2%,115,308,5,26.9%,72.0%,1.2%,143,148,407,36.4%
138554,840,2008,State-funded primary,256,139,117,54.3%,45.7%,4,1.6%,65,25.4%,5,251,0,2.0%,98.0%,0.0%,141,147,256,57.4%
138555,840,2009,State-funded primary,189,77,112,40.7%,59.3%,4,2.1%,36,19.0%,3,186,0,1.6%,98.4%,0.0%,97,98,164,59.8%
138556,840,2010,State-funded primary,320,138,182,43.1%,56.9%,2,0.6%,72,22.5%,17,303,0,5.3%,94.7%,0.0%,202,205,302,67.9%
138557,840,2379,State-funded primary,214,96,118,44.9%,55.1%,2,0.9%,37,17.3%,2,212,0,0.9%,99.1%,0.0%,42,45,214,21.0%
138558,823,2285,State-funded primary,178,80,98,44.9%,55.1%,4,2.2%,36,20.2%,48,130,0,27.0%,73.0%,0.0%,75,75,178,42.1%
138559,806,2005,State-funded primary,336,169,167,50.3%,49.7%,6,1.8%,50,14.9%,19,317,0,5.7%,94.3%,0.0%,222,201,294,68.4%
138560,806,2006,State-funded primary,415,198,217,47.7%,52.3%,39,9.4%,47,11.3%,14,401,0,3.4%,96.6%,0.0%,255,237,359,66.0%
138562,877,4000,State-funded secondary,760,376,384,49.5%,50.5%,9,1.2%,65,8.6%,51,707,2,6.7%,93.0%,0.3%,94,104,760,13.7%
138563,803,6009,Independent school,55,18,37,32.7%,67.3%,55,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138564,211,6003,Independent school,153,60,93,39.2%,60.8%,0,0.0%,39,25.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138565,846,1105,State-funded AP school,88,35,53,39.8%,60.2%,27,30.7%,61,69.3%,3,85,0,3.4%,96.6%,0.0%,65,67,88,76.1%
138567,394,6010,State-funded secondary,698,372,326,53.3%,46.7%,10,1.4%,114,16.3%,31,666,1,4.4%,95.4%,0.1%,216,221,698,31.7%
138568,353,6001,Independent school,76,0,76,0.0%,100.0%,0,0.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138570,891,2003,State-funded primary,215,113,102,52.6%,47.4%,6,2.8%,28,13.0%,39,176,0,18.1%,81.9%,0.0%,122,119,196,60.7%
138571,823,4002,State-funded secondary,1238,613,625,49.5%,50.5%,33,2.7%,171,13.8%,194,1044,0,15.7%,84.3%,0.0%,138,151,1065,14.2%
138575,881,2022,State-funded primary,736,364,372,49.5%,50.5%,18,2.4%,172,23.4%,31,705,0,4.2%,95.8%,0.0%,323,339,654,51.8%
138576,392,2001,State-funded primary,105,47,58,44.8%,55.2%,22,21.0%,31,29.5%,1,104,0,1.0%,99.0%,0.0%,66,66,96,68.8%
138577,391,2008,State-funded primary,453,237,216,52.3%,47.7%,20,4.4%,114,25.2%,115,338,0,25.4%,74.6%,0.0%,339,321,400,80.3%
138579,886,2013,State-funded primary,148,76,72,51.4%,48.6%,5,3.4%,27,18.2%,18,130,0,12.2%,87.8%,0.0%,65,66,148,44.6%
138580,893,6029,Independent school,6,6,0,100.0%,0.0%,1,16.7%,5,83.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138581,883,2001,State-funded primary,857,407,450,47.5%,52.5%,25,2.9%,177,20.7%,418,434,5,48.8%,50.6%,0.6%,238,249,816,30.5%
138582,919,4003,State-funded secondary,1508,697,811,46.2%,53.8%,27,1.8%,184,12.2%,229,1272,7,15.2%,84.4%,0.5%,233,235,1359,17.3%
138583,825,2010,State-funded primary,179,97,82,54.2%,45.8%,3,1.7%,23,12.8%,84,95,0,46.9%,53.1%,0.0%,56,56,172,32.6%
138584,382,2000,State-funded primary,219,101,118,46.1%,53.9%,12,5.5%,60,27.4%,51,168,0,23.3%,76.7%,0.0%,133,134,199,67.3%
138585,850,4005,State-funded secondary,573,296,277,51.7%,48.3%,23,4.0%,59,10.3%,11,562,0,1.9%,98.1%,0.0%,197,213,573,37.2%
138586,330,4004,State-funded secondary,652,327,325,50.2%,49.8%,13,2.0%,48,7.4%,226,418,8,34.7%,64.1%,1.2%,162,164,530,30.9%
138588,309,2028,State-funded primary,587,296,291,50.4%,49.6%,18,3.1%,38,6.5%,439,144,4,74.8%,24.5%,0.7%,177,182,536,34.0%
138589,309,2030,State-funded primary,475,248,227,52.2%,47.8%,16,3.4%,16,3.4%,230,245,0,48.4%,51.6%,0.0%,114,119,439,27.1%
138590,330,2037,State-funded primary,453,234,219,51.7%,48.3%,8,1.8%,57,12.6%,168,285,0,37.1%,62.9%,0.0%,181,187,421,44.4%
138591,335,2007,State-funded primary,445,210,235,47.2%,52.8%,8,1.8%,86,19.3%,71,374,0,16.0%,84.0%,0.0%,271,252,381,66.1%
138592,886,2014,State-funded primary,177,82,95,46.3%,53.7%,9,5.1%,36,20.3%,11,166,0,6.2%,93.8%,0.0%,107,110,177,62.1%
138593,384,4000,State-funded secondary,485,215,270,44.3%,55.7%,27,5.6%,81,16.7%,19,466,0,3.9%,96.1%,0.0%,163,172,485,35.5%
138595,873,2257,State-funded primary,208,98,110,47.1%,52.9%,3,1.4%,30,14.4%,20,187,1,9.6%,89.9%,0.5%,28,28,208,13.5%
138597,876,6014,Independent school,4,2,2,50.0%,50.0%,4,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138599,207,6001,Independent school,44,22,22,50.0%,50.0%,0,0.0%,3,6.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138602,931,6010,Independent school,254,134,120,52.8%,47.2%,0,0.0%,11,4.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138603,802,3451,State-funded primary,461,237,224,51.4%,48.6%,6,1.3%,34,7.4%,67,393,1,14.5%,85.2%,0.2%,85,87,414,21.0%
138604,881,2023,State-funded primary,454,225,229,49.6%,50.4%,11,2.4%,52,11.5%,51,403,0,11.2%,88.8%,0.0%,117,155,421,36.8%
138605,826,2019,State-funded primary,357,169,188,47.3%,52.7%,18,5.0%,43,12.0%,141,216,0,39.5%,60.5%,0.0%,147,152,357,42.6%
138606,335,4004,State-funded secondary,897,458,439,51.1%,48.9%,24,2.7%,138,15.4%,569,325,3,63.4%,36.2%,0.3%,414,387,765,50.6%
138607,205,4632,State-funded secondary,763,763,0,100.0%,0.0%,19,2.5%,102,13.4%,102,656,5,13.4%,86.0%,0.7%,78,84,599,14.0%
138608,304,2076,State-funded primary,913,441,472,48.3%,51.7%,20,2.2%,82,9.0%,610,303,0,66.8%,33.2%,0.0%,189,191,845,22.6%
138609,304,5403,State-funded secondary,1288,611,677,47.4%,52.6%,42,3.3%,294,22.8%,662,626,0,51.4%,48.6%,0.0%,251,253,1077,23.5%
138610,304,5405,State-funded secondary,1909,904,1005,47.4%,52.6%,25,1.3%,176,9.2%,1327,581,1,69.5%,30.4%,0.1%,316,360,1618,22.2%
138611,305,2038,State-funded primary,596,288,308,48.3%,51.7%,23,3.9%,9,1.5%,122,474,0,20.5%,79.5%,0.0%,18,19,556,3.4%
